回答ID, 企画ID, 団体名, 主体としているキャンパス, 団体の区分, 活動内容, 活動日, 活動場所, 部員数, 部費, ひとこと, キャッチコピー, 年間日程
1103, 2103, 教育支援ボランティア「未来への架け橋」, 野田, 文化系, 地域の小中学生への学習支援(放課後教室など)、理科実験教室のアシスタント、子ども向けイベント企画・運営。, 週1回程度の学習支援 + 月1ミーティング/企画会議, 地域の公民館、児童館、小学校、大学内, 23名（男子9名、女子14名）, 0円, 子どもが好き！教えることが好き！教育に関心がある人。特別な資格は不要です。子どもたちの「わかった！」の笑顔がやりがいです。一緒に未来を応援しませんか？, 子どもたちの未来を、一緒に育む。, 4月:新歓説明会＆活動見学 5月:学習支援スタート、指導法研修 6月:理科実験教室アシスタント 7月:夏休みイベント企画会議 8月:夏休み特別学習会・イベント実施 9月:後期学習支援計画 10月:ハロウィンイベント企画・実施 11月:理大祭(活動紹介、子ども向けコーナー) 12月:クリスマス会企画・実施 2月:進級・進学応援企画 3月:年度活動報告＆反省会
1104, 2104, パワーリフティング・筋トレ部「Iron Will」, 野田, 運動系, BIG3(スクワット、ベンチプレス、デッドリフト)を中心とした筋力トレーニング。フォーム指導、補助。ボディビル大会出場サポート(希望者)。, 週2-3回各自トレーニング + 週1合同トレ/フォームチェック会, 大学トレーニングセンター、外部ジム(各自契約), 26名（男子23名、女子3名）, 0円 (ジム代は各自), 強くなりたい！筋肉つけたい！限界に挑戦したい！男女問わず歓迎。初心者には基本から指導。正しいフォームで安全に。共に理想の体を目指そう！, 己の限界を、バーベルに刻め！, 4月:新歓・トレーニング体験＆説明会 5月:BIG3フォーム徹底指導 6月:補助種目トレーニング紹介 7月:前期トレーニング成果測定会 8月:夏合宿(合同トレーニング集中) 10月:栄養・サプリメント勉強会 11月:理大祭(パワー測定、デモンストレーション) 12月:年末デッドリフト大会(部内) 2月:ボディビルポージング練習会(希望者) 3月:年間成長記録発表会
1105, 2105, 山野草・高山植物研究会, 野田, 文化系, 日本の山野草や高山植物の同定、生態調査、保護に関する勉強会。観察山行、植物園見学。, 月1回 勉強会 + 月1回 観察山行(4-11月), 講義棟、関東近郊の山、植物園, 14名（男子8名、女子6名）, 1000円/年 + 山行交通費実費, 可憐な山の花が好き、足元の小さな自然に興味がある人。図鑑の見方から教えます。季節ごとの花を求めて山を歩きませんか？植物知識が深まります。, 足元に咲く、小さな命を見つめて。, 4月:新歓・春の野草観察会(近郊) 5月:低山の花観察(カタクリ等) 6月:梅雨時の花・シダ植物観察 7月:高山植物観察山行①(八ヶ岳など) 8月:夏休み高山植物観察山行②(アルプスなど) 9月:秋の草花観察会 10月:紅葉と木の実観察 11月:理大祭(写真・標本展示) 12月:冬芽・樹皮観察会 2月:植物分類勉強会 3月:早春の花観察(フクジュソウ等)
1106, 2106, サバイバルゲーム同好会「Airsoft Frontline」, 野田, 運動系, エアソフトガンを使ったチーム対戦(サバイバルゲーム)への参加。装備研究、カスタム相談、戦術研究。, 月1-2回 フィールド参加(週末) + 不定期 ミーティング, 千葉県内のサバイバルゲームフィールド, 21名（男子20名、女子1名）, フィールド参加費実費 + 年会費1000円, サバゲーやってみたい人、興味ある人！初心者歓迎。装備レンタル可能なフィールドで始められます。チームで協力して勝利を目指すスリルと興奮！安全ルール遵守！, 非日常の戦場で、アドレナリン全開！, 4月:新歓・サバゲー体験会(初心者向けフィールド) 5月:装備講習会＆購入相談 6月:定例会参加① 7月:ハンドガン戦限定ゲーム 8月:夏休み耐久ゲーム参加(有志) 9月:チーム連携・戦術研究会 10月:定例会参加②(森林フィールド) 11月:理大祭(装備展示、シューティング体験検討) 12月:撃ち納め＆忘年会ゲーム 2月:インドアフィールド交流戦 3月:春の定例会参加③
1107, 2107, 声優・アナウンス研究会「Voice Actors Studio」, 野田, 演技系, 発声、滑舌、アクセント練習。アニメアフレコ、ナレーション、ラジオドラマ制作練習。演技力向上ワークショップ。, 週1回 練習会(金曜放課後), 講義棟、トレーニング棟音楽室, 18名（男子8名、女子10名）, 1500円/年, 声優やナレーターに憧れる人、話すスキルを磨きたい人！初心者歓迎。基礎からしっかり練習します。自分の声で表現する楽しさを見つけよう！, 声に、魂をのせて。, 4月:新歓・発声体験＆アフレコ体験 5月:滑舌・アクセント基礎トレーニング 6月:アニメアフレコ練習① 7月:ナレーション原稿読み練習 8月:夏合宿(ラジオドラマ制作) 10月:外部講師ワークショップ(予定) 11月:理大祭(アフレコ体験、ラジオドラマ発表) 12月:アニメアフレコ練習② 2月:感情表現ワークショップ 3月:年度末成果発表会
1108, 2108, 折り紙サークル「Origami Art」, 野田, 文化系, 伝統的な折り紙から複雑な創作折り紙、ユニット折り紙まで。作品展示、折り紙教室開催(ボランティア)。, 週1回 活動日(火曜放課後), 講義棟 K305, 20名（男子9名、女子11名）, 500円/年 (折り紙代補助), 折り紙が好き、手先を使うのが好きな人。一枚の紙から生まれる無限の可能性を楽しみませんか？初心者でも簡単なものから。教え合いながらステップアップ！, 一枚の紙から、広がる創造の世界。, 4月:新歓・簡単折り紙体験＆作品紹介 5月:ユニット折り紙(くす玉)挑戦 6月:動物・生き物折り紙特集 7月:前期作品発表＆展示会 8月:夏休み子供向け折り紙教室ボランティア 10月:複雑な創作折り紙に挑戦 11月:理大祭(作品展示、折り紙体験コーナー) 12月:クリスマスオーナメント折り紙 2月:オリジナル作品創作会 3月:大型作品共同制作
1109, 2109, けん玉同好会「Kendama Crew」, 野田, 運動系, けん玉の基本技から応用技、フリースタイルの練習。級・段位認定挑戦サポート。パフォーマンス練習。, 週1回 練習会(水曜昼休み or 放課後), コミュニケーション棟前広場、講義棟, 12名（男子10名、女子2名）, 0円 (けん玉は各自用意), けん玉やってみたい人、昔やってた人、集まれ！初心者歓迎。技が決まった時の達成感が最高！集中力も養えます。気軽に遊びに来てください！, 技を磨け！もっと自由に！, 4月:新歓・けん玉体験会＆ミニパフォーマンス 5月:基本技(大皿・小皿・とめけん等)練習 6月:級位認定技に挑戦 7月:もし亀(連続技)チャレンジ大会 8月:夏休みフリースタイル練習会 10月:段位認定技練習開始 11月:理大祭(パフォーマンス、体験会) 12月:年末けん玉大会(部内) 2月:けん玉PV撮影(希望者) 3月:技の教え合い＆交流会
1110, 2110, ダーツサークル「Triple Bulls」, 野田, 運動系, ソフトダーツの練習、対戦。フォーム研究、アレンジ(上がり計算)練習。ハウストーナメント企画。, 月2-3回 練習会(平日夜 or 週末), ダーツバー、ネットカフェ(ダーツ設置店), 25名（男子19名、女子6名）, ゲーム代実費 + 年会費1000円, ダーツに興味がある人、気軽に始められます！初心者歓迎。投げ方から教えます。仲間とワイワイ対戦するのも楽しい！集中力と計算力もUP？, 狙え、ブルズアイ！仲間と楽しく！, 4月:新歓ダーツ体験会 5月:初心者向けフォーム＆ルール講座 6月:カウントアップ大会 7月:ゼロワン(01)ゲーム練習会 8月:夏休みダーツ合宿(？) 9月:クリケット練習会 10月:ハウストーナメント企画① 11月:理大祭(紹介ブース) 12月:年末ハウストーナメント②＆忘年会 2月:ダブルス練習会 3月:年間レーティング発表会
1111, 2111, 書評サークル「Book Worms」, 野田, 文化系, 読んだ本(小説、新書、専門書問わず)について語り合う会。テーマ別読書会、ビブリオバトル開催。, 月1-2回 定例会(金曜夜), 講義棟、オンライン, 16名（男子9名、女子7名）, 0円, 本が好き！他の人の感想を聞きたい！面白い本に出会いたい！そんなあなたに。ジャンルは問いません。自分の言葉で本の魅力を伝え合う、知的な時間。, 一冊の本から、広がる対話。, 4月:新歓・自己紹介＆最近読んだ面白い本 5月:テーマ別書評会①(例:ミステリー) 6月:ビブリオバトル開催① 7月:新書・ノンフィクション特集 8月:夏休み課題図書(？)読書会 10月:テーマ別書評会②(例:海外文学) 11月:理大祭(おすすめ本紹介展示) 12月:ビブリオバトル開催② 2月:専門分野の本紹介会 3月:年間ベストブック発表会
1112, 2112, ミステリー研究会「ＱＥＤ」, 野田, 文化系, ミステリー小説(国内外、新旧問わず)の読書会、トリック考察、犯人当て、ミステリー映画鑑賞会。, 月1回 定例会(土曜午後), 講義棟、オンライン, 19名（男子12名、女子7名）, 0円, ミステリーが好きでたまらない人、集まれ！トリックや伏線を語り合いたい！好きな作家や作品について熱く議論しませんか？ネタバレ注意で楽しみましょう！, 謎解きは、読書の後で。, 4月:新歓・好きなミステリ作家/作品紹介 5月:古典ミステリ読書会(ポー、ドイル等) 6月:本格ミステリ・トリック考察会 7月:イヤミス/叙述トリック特集 8月:ミステリー映画鑑賞マラソン 10月:社会派ミステリ読書会 11月:理大祭(ミステリクイズ、おすすめ紹介) 12月:年末犯人当て大会 2月:海外ミステリ特集 3月:マイベストミステリ発表会
1113, 2113, 地域清掃ボランティア「クリーンウォーカーズ」, 野田, 文化系, 大学周辺や江戸川河川敷などの地域清掃活動。ポイ捨て問題に関する啓発活動も。, 月1回 清掃活動(土曜午前), 大学周辺地域、江戸川河川敷, 22名（男子13名、女子9名）, 0円, 自分たちの街をきれいにしたい！ちょっといいことしたい！そんな気軽な気持ちでOK。特別なスキル不要。朝活にもなります。活動後の達成感が気持ちいい！, 拾う心、広がるキレイ。, 毎月1回 地域清掃活動 / 4月:新歓清掃活動＆交流会 5月:ポイ捨て状況調査 6月:雨の日対策グッズ検討会(？) 7月:夏の早朝清掃 8月:熱中症対策勉強会 10月:秋の拡大清掃キャンペーン 11月:理大祭(活動紹介、啓発ポスター) 12月:年末大掃除スペシャル 2月:分別回収に関する勉強会 3月:年度活動報告
1114, 2114, キャンプ・アウトドアサークル「Nature Campers」, 野田, 運動系, キャンプ(テント泊)、デイキャンプ、焚き火、アウトドアギア研究。軽登山や釣りなど他のアクティビティも。, 月1回程度 キャンプorデイキャンプ(週末) + 不定期ミーティング, 関東近郊のキャンプ場、自然公園, 34名（男子22名、女子12名）, 年会費2000円 + キャンプ実費, キャンプが好き！自然の中で過ごしたい！焚き火を囲みたい！初心者歓迎。テント設営から火起こしまで、皆で協力します。ギアの貸出相談もOK！, 星空の下、最高の思い出を。, 4月:新歓デイキャンプBBQ＆テント設営体験 5月:春キャンプ(1泊) 6月:焚き火料理研究会 7月:川キャンプ＆釣り体験 8月:夏休みロングキャンプ(2泊以上) 9月:アウトドアギアメンテナンス講座 10月:秋キャンプ＆紅葉狩り 11月:理大祭(キャンプサイト再現展示？) 12月:冬キャンプ(防寒対策必須)＆鍋 2月:キャンプ道具DIY(検討) 3月:春のデイキャンプ＆お花見
1115, 2115, ディジタルアート・CG制作「Digital Canvas」, 野田, 文化系, 2Dイラスト、3DCG、映像編集、モーショングラフィックスなど、PCを使ったデジタルアート制作全般。, 週1回 もくもく会/情報交換会(水曜夜) + オンライン交流, 講義棟 PCルーム(ソフト利用可)、オンライン, 26名（男子18名、女子8名）, 1000円/年, PCで絵を描きたい！CG作ってみたい！動画編集したい！初心者歓迎。ソフトの使い方から教えます。デジタルならではの表現を追求しませんか？作品共有も。, ピクセルで描く、無限の創造。, 4月:新歓・作品紹介＆ソフト体験会 5月:2Dイラストソフト(Photoshop/Illustrator/ClipStudio)基礎 6月:3DCGソフト(Blender)入門 7月:前期作品発表会(オンラインギャラリー) 8月:夏休み集中制作＆技術交流会 10月:映像編集ソフト(Premiere/AfterEffects)基礎 11月:理大祭(作品展示、メイキング紹介) 12月:モーショングラフィックス挑戦 2月:VR/ARアート研究(？) 3月:合同プロジェクト作品発表会
1116, 2116, ボードゲームカフェ巡り同好会, 野田, 文化系, 都内や近郊のボードゲームカフェを巡り、様々なゲームをプレイする。お店の雰囲気やフードも楽しむ。, 月1-2回 (週末午後), 都内・近郊のボードゲームカフェ, 28名（男子15名、女子13名）, カフェ利用料実費のみ, ボドゲは好きだけど、自分で買うのは…カフェなら色々試せる！新しいゲームに出会いたい人、色々なカフェに行ってみたい人。一緒に遊びに行きませんか？, カフェで発見！新しいゲームと仲間。, 4月:新歓・初心者向けゲームのあるカフェへ 5月:戦略ゲーム充実のカフェ 6月:パーティーゲーム豊富なカフェ 7月:フードメニューが魅力のカフェ 8月:夏休み拡大版！複数カフェはしご(？) 10月:隠れ家的雰囲気のカフェ 11月:理大祭(おすすめボドゲカフェ紹介) 12月:年末ボドゲ納めカフェ会 2月:珍しいゲームがあるカフェ探索 3月:お気に入りカフェ再訪ツアー
1117, 2117, レザークラフト同好会「Leather Works」, 野田, 文化系, 革小物(キーケース、パスケース、財布など)のデザイン・製作。手縫い、刻印、染色などの技法学習。, 月2回 作業会(土曜午後), 部室棟 W110 (作業スペース、工具あり), 15名（男子9名、女子6名）, 3000円/年 (共有工具・革代補助) + 材料費各自, 革製品が好き！自分で作ってみたい！手芸好き、ものづくり好き歓迎。初心者でも基本から。使うほど味が出る革小物を、自分の手で生み出しませんか？, 革と糸で紡ぐ、自分だけの逸品。, 4月:新歓・キーホルダー/コースター製作体験 5月:革の種類・工具説明、手縫い基礎練習 6月:パスケース製作 7月:前期作品発表会 8月:夏休み自由製作期間 10月:刻印・スタンピング技法 11月:理大祭(作品展示・販売) 12月:染色技法入門 2月:ミニ財布/コインケース製作 3月:オリジナルデザイン作品展
1118, 2118, 天体写真クラブ「Astro Photo」, 野田, 文化系, 星空、月、惑星、星雲星団などの天体写真撮影。機材(カメラ、望遠鏡、赤道儀)の研究、画像処理技術学習。, 月1回 撮影会(新月期週末) + 月1回 勉強会/画像処理会, 近郊の暗い観測地、講義棟、オンライン, 13名（男子11名、女子2名）, 4000円/年 (遠征交通費補助、共有機材維持費), 星空を写真に残したい！天体写真に挑戦したい人！カメラ・望遠鏡の知識ゼロでもOK。機材の相談から撮影、画像処理までサポート。宇宙の美を写し撮ろう。, ファインダー越しの、遥かなる宇宙。, 4月:新歓・天体写真紹介＆機材説明会 5月:星景写真(星と風景)撮影会 6月:月面撮影＆画像処理(スタック)入門 7月:夏の天の川撮影会 8月:ペルセウス座流星群撮影チャレンジ 9月:画像処理ソフト(ステライメージ等)勉強会 10月:秋の星雲星団撮影会 11月:理大祭(天体写真展) 12月:冬のダイヤモンド撮影会 2月:惑星(木星・土星)撮影 3月:年間ベストショット発表会
1119, 2119, 謎解き脱出ゲーム同好会, 野田, 文化系, 市販の謎解きキットやオンライン脱出ゲームをプレイ。SCRAP等のリアル脱出ゲームへの参加(有志)。感想共有会。, 月1-2回 プレイ会(週末 or 平日夜), 講義棟、オンライン、リアル脱出ゲーム会場, 32名（男子18名、女子14名）, ゲーム参加費実費, 謎解き・脱出ゲームが好き！チームで協力して謎を解くのが楽しい！そんな人集まれ。初心者向けから高難易度まで色々挑戦。ひらめきの瞬間が快感！, 制限時間内に、真実へたどり着け！, 4月:新歓・初心者向け謎解きキット体験会 5月:オンライン脱出ゲーム大会 6月:リアル脱出ゲーム参加ツアー①(有志) 7月:持ち寄り謎解きキットプレイ会 8月:夏休み謎解き合宿(？持ち込み企画) 10月:高難易度謎解きチャレンジ 11月:理大祭(紹介ブース、ミニ謎) 12月:年末謎解き納め会 2月:リアル脱出ゲーム参加ツアー②(有志) 3月:年間プレイ記録＆感想共有会
1120, 2120, ラーメン二郎研究会, 野田, 文化系, ラーメン二郎(及びインスパイア系)の食べ歩き、コール研究、店舗ごとの特徴分析、情報交換。, 月1-2回 店舗訪問(不定期 平日夜 or 週末), 関東近郊のラーメン二郎及びインスパイア系店舗, 15名（男子全員）, ラーメン代実費のみ, 「ニンニク入れますか？」に答えたい者、集え！二郎の魅力に取り憑かれた者、これから知りたい者。ロットを乱さぬよう、共に高みを目指そう。, そこに二郎があるから。, 毎月 関東近郊の店舗を訪問・記録 / 4月:新歓・初心者向け店舗訪問＆コール講座 5月:インスパイア系巡り① 6月:麺・スープ・豚 研究会(という名の食べ比べ) 7月:夏バテ対策？ニンニク少なめ研究 8月:遠征企画(地方二郎？) 10月:インスパイア系巡り② 11月:理大祭(活動紹介？出店は無理か…) 12月:年末二郎納め 2月:非乳化/乳化スープ比較研究 3月:全マシチャレンジ(自己責任)
1121, 2121, 統計学勉強会「Stats Lab」, 野田, 文化系, 統計検定対策、R/Pythonを用いた統計解析の実践、統計モデリング、データ分析手法の学習。, 週1回 勉強会(木曜夜), 講義棟 K509、オンライン, 18名（男子14名、女子4名）, テキスト代実費のみ, 統計学をしっかり学びたい人、データ分析の基礎を固めたい人。文系理系問わず歓迎。統計検定取得目標の方もぜひ。数学苦手でも大丈夫(？)。, データの本質を見抜く眼を養う。, 4月:新歓・統計学の活用事例紹介 5月:記述統計・確率分布の復習 6月:統計検定3級・2級対策開始 7月:R/Pythonによる統計解析入門 8月:推定・検定の理論と実践 10月:回帰分析、分散分析 11月:統計検定受験(11月) / 多変量解析入門 12月:ベイズ統計学入門(希望者) 2月:機械学習と統計学の関係 3月:自由研究発表(統計分析事例)
1122, 2122, 競技かるたサークル「紅葉の会」(別系統), 野田, 文化系, 競技かるたの練習。初心者への指導、経験者のレベルアップ練習。大会参加を視野に。, 週2回 (火曜・金曜) 練習会, 研修センター和室, 25名（男子12名、女子13名）, 3000円/年, 初心者から経験者まで、かるたに真剣に取り組みたい人。基礎から応用まで段階的に練習します。集中力、記憶力、瞬発力を鍛えよう！目指せA級！, 一瞬の静寂、札を払う音。, 4月:新歓体験会＆基礎練習 5月:決まり字暗記特訓 6月:試合形式練習(源平戦など) 7月:前期部内ランク戦 8月:夏合宿(集中練習＆大会遠征) 9月:新人戦参加 10月:戦術研究会 11月:理大祭(体験会、模範試合) 12月:冬季大会参加(有志) 2月:他大学との交流練習試合 3月:春季大会参加
1123, 2123, 鉄道模型(HOゲージ)クラブ, 野田, 文化系, HOゲージ車両の製作・収集、レイアウト(ジオラマ)製作、運転会開催。, 月1-2回 作業会/運転会(週末), 部室棟 N206 (HOレイアウト設置), 10名（男子全員）, 8000円/年 (レイアウト維持費、車両購入補助), Nゲージより大きいHOゲージの迫力！車両工作やリアルなレイアウト作りを楽しみたい人。じっくり時間をかけて作り込むのが好きな方に。, 重厚感あふれる、鉄路の世界へ。, 4月:新歓・HOゲージ体験運転会 5月:車両キット製作開始(初心者向け) 6月:レイアウト・シーナリー製作① 7月:前期運転会＆車両お披露目 8月:夏休み集中工作期間 10月:レイアウト・シーナリー製作② 11月:理大祭(HOゲージ走行展示) 12月:年末夜景運転会 2月:ウェザリング(汚し塗装)講習 3月:年間活動報告＆走行会
1124, 2124, 哲学対話サークル「ソクラテスカフェ」, 野田, 文化系, 身近な疑問から普遍的な問いまで、テーマを設定し、参加者全員で対話する活動。特定の結論は目指さない。, 月1回 対話会(土曜午後), 講義棟ラウンジ、カフェ(場所借りて), 17名（男子10名、女子7名）, 場所代実費程度, 考えることが好き、話すことが好き、聞くことが好きな人。普段考えないようなことを、じっくり対話してみませんか？知識は不要、大切なのは問い続けること。, 答えのない問いを、共に探求する。, 毎月テーマを設定し対話会 / 4月:新歓・「大学で学ぶとは？」をテーマに対話 5月:「幸せ」について考える 6月:「正義」とは何か 7月:「自由」について 8月:夏休み特別編「人生の意味」 10月:「美しさ」について 11月:理大祭(公開対話セッション) 12月:「愛」とは何か 2月:「時間」について 3月:「自分らしさ」を探る
1125, 2125, 野田キャンパス・メディア制作部, 野田, 文化系, 学内イベントの記録撮影(写真・動画)、紹介動画制作、Webサイト運営、広報誌(Web/紙)発行。, 週1ミーティング + イベント時活動、制作随時, 部室棟 E206 (編集機材あり)、学内各所, 21名（男子14名、女子7名）, 1000円/年, 理科大野田キャンパスの「今」を伝えたい！写真、動画、Web、文章、デザインに興味がある人。企画から制作、発信まで。大学の魅力を一緒に届けよう！, キャンパスの鼓動を、記録し、発信する。, 4月:新歓撮影・取材活動＆説明会 5月:撮影・編集ソフト講習会 6月:学内イベント取材① 7月:広報誌/Webサイト企画会議 8月:夏休み特集コンテンツ制作 10月:学内イベント取材② 11月:理大祭密着取材＆速報発信 12月:年間活動報告動画制作 2月:新年度広報企画立案 3月:卒業関連コンテンツ制作
1126, 2126, インプロ(即興演劇)サークル「Ad Libitum」, 野田, 演技系, 台本なしで、その場の状況や設定に合わせて即興で演じるインプロゲームやシーン作りの練習。, 週1回 練習会(水曜放課後), トレーニング棟、講義棟, 14名（男子8名、女子6名）, 500円/年, アドリブ力を鍛えたい！表現力を豊かにしたい！コミュニケーション能力を高めたい！初心者歓迎。失敗OK！笑いながら、楽しみながら、創造力を解放しよう！, 瞬間のひらめきを、最高のエンタメに！, 4月:新歓・インプロゲーム体験会 5月:基礎練習(受容・応答・自発性) 6月:ショートフォーム(ゲーム形式)練習 7月:前期発表会(インプロショー) 8月:夏合宿(集中ワークショップ) 10月:ロングフォーム(ストーリー形式)挑戦 11月:理大祭(体験ワークショップ＆ミニショー) 12月:クリスマス即興劇 2月:他大学インプロサークル交流会 3月:年度末発表会
1127, 2127, ポケモンカードゲーム部「PokéCa Lab」, 野田, 文化系, ポケモンカードゲームの対戦、デッキ構築研究、最新カード情報交換、公認大会への参加。, 週1-2回 対戦/交流会(火曜・金曜放課後), 講義棟 K607、カードショップ(大会時), 30名（男子28名、女子2名）, 0円 (カードは各自), ポケカ好き集まれ！初心者にはティーチングから。環境デッキ研究、ファンデッキ構築、何でもOK！最新弾の情報交換も活発。一緒に最強デッキを目指そう！, デッキに込めろ、戦略と情熱！, 4月:新歓・初心者ティーチング＆フリー対戦 5月:デッキ構築相談会 6月:新弾バトル(部内) 7月:ジムバトル参加ツアー(有志) 8月:夏休みデッキ強化期間 9月:シティリーグ対策会議 10月:特殊レギュレーション対戦会 11月:理大祭(フリー対戦コーナー) 12月:年末大型大会観戦会(配信) 2月:ファンデッキ交流会 3月:CL(チャンピオンズリーグ)反省会
1128, 2128, ビー玉・ピタゴラ装置製作サークル, 野田, 文化系, ビー玉が転がるコースや、ピタゴラ装置のようなカラクリ装置の設計・製作。文化祭での大型作品展示目標。, 月2回 製作会(土曜午後), 工作スペース(部室棟 or 講義棟工作室), 16名（男子13名、女子3名）, 2000円/年 (材料費), ピタゴラ装置が好き！見ててワクワクする仕掛けを作りたい人！アイデアと工夫で、ビー玉の旅を作りませんか？試行錯誤が楽しい！物理法則も学べるかも？, 驚きと感動の連鎖反応を、創り出す。, 4月:新歓・ミニ装置展示＆製作体験 5月:コース設計・ギミック考案会 6月:基本部品製作(スロープ、カーブ等) 7月:前期ミニ作品発表会 8月:夏休み集中製作期間(大型装置へ) 10月:ギミック追加・調整 11月:理大祭(大型ピタゴラ装置展示) 12月:動画撮影＆編集 2月:新ギミック研究会 3月:次年度構想会議
1129, 2129, サウナ同好会「ととのい処」, 野田, 文化系, サウナ施設(銭湯、スーパー銭湯、専門施設)の開拓・訪問。サウナの入り方、効能研究、情報交換。, 月1-2回 サウナ活動(不定期 平日夜 or 週末), 関東近郊のサウナ施設, 20名（男子16名、女子4名）, 施設利用料実費のみ, サウナが好き！「ととのう」感覚を追求したい人！初心者歓迎。正しい入り方からマナーまで共有します。心と体をリフレッシュ！最高の水風呂を探して。, 汗と共に流れる、日々の疲れ。, 毎月1-2回 サウナ施設訪問＆報告会 / 4月:新歓・サウナ入門講座＆近隣銭湯サウナへ 5月:スーパー銭湯開拓① 6月:ロウリュ・アウフグース体験会 7月:サ飯(サウナ後の飯)研究会 8月:夏休み遠征サウナ(企画中) 10月:スーパー銭湯開拓② 11月:理大祭(おすすめサウナ紹介？) 12月:年末ととのい納め 2月:テントサウナ体験会(企画) 3月:ベストサウナ・オブ・ザ・イヤー(部内)
1130, 2130, 公共政策・社会問題研究会, 野田, 文化系, 現代社会が抱える課題(環境、教育、福祉、労働等)について学び、議論し、解決策を探る。文献調査、ディスカッション。, 月2回 勉強会/ディスカッション(水曜夜), 講義棟、オンライン, 15名（男子9名、女子6名）, 500円/年, 社会問題に関心がある人、政策に興味がある人。ニュースの背景を知りたい、自分なりの意見を持ちたい方へ。多様な視点から議論し、理解を深めます。, より良い社会のために、考え、議論する。, 4月:新歓・興味のある社会問題共有会 5月:テーマ設定①(例:環境問題)、文献調査開始 6月:ディスカッション① 7月:テーマ設定②(例:教育格差)、文献調査開始 8月:夏休み関連書籍輪読会 10月:ディスカッション② 11月:理大祭(研究発表、問題提起ポスター) 12月:ゲストスピーカー講演会(企画) 2月:テーマ設定③、ディスカッション③ 3月:年間活動報告＆次年度テーマ検討
1131, 2131, 野田地区理大祭実行委員会, 野田, 文化系, 野田地区理大祭(11月開催)の企画・運営全般。広報、渉外、会場設営、イベント企画、会計など。, 週1回の全体会(月曜) + 各部署ミーティング随時。開催直前期は多忙。, 講義棟、部室棟E208/E209、キャンパス全域, 120名（男子70名、女子50名）, 0円, 大学祭を「創る側」になってみませんか？企画力、交渉力、チームワーク…様々な力が身につきます。最高の学園祭を、私たちと一緒に作り上げよう！, 最高の瞬間を、企画する。, 4月:新歓活動、新メンバー募集 5月:組織体制決定、年間計画策定 6月-8月:企画立案・準備(協賛依頼、出演交渉、参加団体募集など) 9月-10月:広報活動本格化、各種手配、マニュアル作成 11月上旬-中旬:会場設営、リハーサル、理大祭本番！ 11月下旬:後片付け、反省会 12月-3月:次年度への引継ぎ、(新歓実行委員会と連携)
1132, 2132, アカペラサークル「Sound Sketch」(別系統), 野田, 音楽系, ポップス中心のアカペラ。少人数グループでの練習・発表。学内ライブ、地域の小さなイベント出演。, 週1回全体練習(交流メイン) + バンド毎に週1練習, 講義棟、音楽練習室, 40名（男子20名、女子20名）, 5000円/年, 歌うのが好きならOK！楽譜読めなくても大丈夫。先輩が優しく教えます。アットホームな雰囲気で、楽しくハモりたい人にぴったり！, 声と笑顔で、カラフルな音楽を。, 4月:新歓ミニライブ＆パート体験会 5月:新歓合宿(交流メイン) 7月:七夕ライブ 9月:バンド発表会 11月:理大祭ステージ(小規模) 12月:クリスマスライブ＆パーティー 2月:バレンタインライブ 3月:卒業生を送る会ライブ
1133, 2133, テコンドー同好会「Taegeuk Warriors」, 野田, 運動系, ITF/WTF流派問わずテコンドーの練習。基本動作、型(プムセ/トゥル)、組手(マッソギ/キョルギ)、護身術。, 週2回 (水曜・土曜), 森戸記念体育館 武道場, 15名（男子10名、女子5名）, 4000円/年, 華麗な足技を身につけたい人！礼儀作法を学びたい人！初心者・経験者問わず歓迎。体力に自信がなくても大丈夫。自分のペースで強くなろう！, 蹴り一つで、道を拓く。, 4月:新歓体験稽古＆ミット蹴り 5月:基本ステップ・蹴り技練習 6月:型 練習開始 7月:前期組手練習会 8月:夏合宿(合同稽古) 10月:護身術セミナー 11月:理大祭(演武披露) 12月:昇級審査(希望者) 2月:連続蹴り技練習 3月:年度末組手試合
1134, 2134, ジャズダンスサークル「Rhythm Mode」, 野田, 運動系, ジャズダンスの基礎(アイソレーション、ターン、ステップ)練習、振り付け練習。学内発表会、イベント出演。, 週2回 (火曜・金曜), トレーニング棟、外部スタジオ, 28名（女子20名、男子8名）, 8000円/年 + スタジオ代別途, 踊ることが好き！表現することが好き！ジャズダンスに挑戦しませんか？バレエやストリートダンス経験者も、未経験者も歓迎！しなやかでキレのある動きを。, 音に乗せて、心を解放する。, 4月:新歓体験レッスン＆ショーケース 5月:ジャズダンス基礎集中レッスン 7月:前期作品発表会 8月:夏合宿(振付・構成) 10月:外部イベント出演(検討) 11月:理大祭ステージ 12月:クリスマスショーケース 2月:シアタージャズに挑戦 3月:卒業公演
